,time,VAR
116,2018-01-01 00:00:00.470392,-123859.0
117,2018-01-01 00:00:00.474392,-123859.0
118,2018-01-01 00:00:00.478392,-122486.0
119,2018-01-01 00:00:00.482392,-123859.0
120,2018-01-01 00:00:00.486392,-118366.0
121,2018-01-01 00:00:00.490392,-116993.0
122,2018-01-01 00:00:00.494392,-121113.0
123,2018-01-01 00:00:00.498392,-116993.0
124,2018-01-01 00:00:00.502392,-115619.0
125,2018-01-01 00:00:00.506392,-116993.0
126,2018-01-01 00:00:00.510392,-116993.0
127,2018-01-01 00:00:00.514392,-114246.0
128,2018-01-01 00:00:00.518392,-112873.0
129,2018-01-01 00:00:00.522392,-111500.0
130,2018-01-01 00:00:00.526392,-111500.0
131,2018-01-01 00:00:00.530392,-111500.0
132,2018-01-01 00:00:00.534392,-110126.0
133,2018-01-01 00:00:00.538392,-107380.0
134,2018-01-01 00:00:00.542392,-107380.0
135,2018-01-01 00:00:00.546392,-108753.0
136,2018-01-01 00:00:00.550392,-106006.0
137,2018-01-01 00:00:00.554392,-106006.0
138,2018-01-01 00:00:00.558392,-106006.0
139,2018-01-01 00:00:00.562392,-103260.0
140,2018-01-01 00:00:00.566392,-100513.0
141,2018-01-01 00:00:00.570392,-100513.0
142,2018-01-01 00:00:00.574392,-99140.0
143,2018-01-01 00:00:00.578392,-99140.0
144,2018-01-01 00:00:00.582392,-96393.0
145,2018-01-01 00:00:00.586392,-96393.0
146,2018-01-01 00:00:00.590392,-96393.0
147,2018-01-01 00:00:00.594392,-96393.0
148,2018-01-01 00:00:00.598392,-96393.0
149,2018-01-01 00:00:00.602392,-96393.0
150,2018-01-01 00:00:00.606392,-96393.0
151,2018-01-01 00:00:00.610392,-93647.0
152,2018-01-01 00:00:00.614392,-93647.0
153,2018-01-01 00:00:00.618392,-95020.0
154,2018-01-01 00:00:00.622392,-89527.0
155,2018-01-01 00:00:00.626392,-93647.0
156,2018-01-01 00:00:00.630392,-89527.0
157,2018-01-01 00:00:00.634392,-90900.0
158,2018-01-01 00:00:00.638392,-90900.0
159,2018-01-01 00:00:00.642392,-89527.0
160,2018-01-01 00:00:00.646392,-89527.0
161,2018-01-01 00:00:00.650392,-88154.0
162,2018-01-01 00:00:00.654392,-86780.0
163,2018-01-01 00:00:00.658392,-85407.0
164,2018-01-01 00:00:00.662392,-88154.0
165,2018-01-01 00:00:00.666392,-85407.0
166,2018-01-01 00:00:00.670392,-78541.0
167,2018-01-01 00:00:00.674392,-75794.0
168,2018-01-01 00:00:00.678392,-66181.0
169,2018-01-01 00:00:00.682392,-42835.0
170,2018-01-01 00:00:00.686392,-12623.0
171,2018-01-01 00:00:00.690392,21710.0
172,2018-01-01 00:00:00.694392,57415.0
